date,timestamp,fileName,fileHashCode,documentHashCode,fragment,userId,testMode,program,year,programExperienceYears,programExperienceMonths,country,chosenTask,programmingLanguage
2024-11-03T16:27:59.416-05:00,0,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here",1,ON,3,male,3,-1,canada,-1,python
2024-11-03T16:28:06.375-05:00,0,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:33.761-05:00,11,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:33.918-05:00,311,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
#",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:34.145-05:00,315,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
#D",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:34.167-05:00,322,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
#Da",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:34.193-05:00,323,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
#Dan",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:34.251-05:00,329,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
#Dani",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:34.372-05:00,339,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
#Danie",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:34.592-05:00,349,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
#Daniel",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:34.721-05:00,359,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
#Danie",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:34.916-05:00,363,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
#Dani",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:35.013-05:00,367,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
#Dan",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:35.165-05:00,371,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
#Da",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:35.384-05:00,375,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
#D",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:35.489-05:00,379,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
#D ",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:35.580-05:00,383,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
#D D",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:35.741-05:00,393,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
#D Da",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:35.883-05:00,397,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
#D D",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:36.032-05:00,401,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
#D ",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:36.192-05:00,405,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
#D",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:36.456-05:00,409,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
#",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:36.594-05:00,413,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
# ",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:36.708-05:00,417,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
# D",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:36.801-05:00,427,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
# Da",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:36.874-05:00,431,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
# Dan",1,ON,3,male,3,-1,canada,pies,python
2024-11-03T16:28:36.952-05:00,435,pies.py,115903,1264367361,"# Write code for the pies task in this file

# Write your code here
# Dani",1,ON,3,male,3,-1,canada,pies,python
