date,timestamp,fileName,fileHashCode,documentHashCode,fragment,userId,testMode,program,year,programExperienceYears,programExperienceMonths,chosenTask,programmingLanguage
2024-11-20T15:59:35.476-05:00,0,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here",6,ON,3,male,4,-1,-1,python
2024-11-20T16:00:40.096-05:00,0,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:40.392-05:00,702,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:40.580-05:00,708,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
p",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:40.628-05:00,722,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
pr",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:40.701-05:00,732,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
pri",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:40.778-05:00,743,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
prin",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:41.018-05:00,754,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:41.021-05:00,765,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print(",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:41.262-05:00,766,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print()",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:41.268-05:00,770,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print()""",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:41.721-05:00,771,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print()""""",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:41.724-05:00,810,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print()""",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:42.734-05:00,811,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print()",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:42.740-05:00,852,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print("")",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:43.017-05:00,853,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print("""")",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:43.217-05:00,883,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print(""h"")",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:43.496-05:00,913,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print(""he"")",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:43.636-05:00,937,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print(""h"")",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:43.808-05:00,951,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print("""")",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:44.007-05:00,965,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print(""H"")",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:44.210-05:00,992,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print(""He"")",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:44.351-05:00,1006,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print(""Hel"")",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:44.528-05:00,1020,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print(""Hell"")",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:44.685-05:00,1034,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print(""Hello"")",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:44.790-05:00,1048,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print(""Hello "")",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:44.937-05:00,1062,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print(""Hello w"")",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:45.002-05:00,1091,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print(""Hello wo"")",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:45.173-05:00,1105,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print(""Hello wor"")",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:45.225-05:00,1119,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print(""Hello worl"")",6,ON,3,male,4,-1,is_zero,python
2024-11-20T16:00:55.637-05:00,1133,is_zero.py,130103,738073137,"# Write code for the is_zero task in this file

# Write your code here
print(""Hello world"")",6,ON,3,male,4,-1,is_zero,python
